school_name,major_name,year,province_id,subject_type,batch,min_score,max_score,avg_score,min_ranking,plan_count,enroll_count
浙江大学,计算机科学与技术,2024,16,3,本科批,675,,,170,,
南京大学,物理学,2024,16,3,本科批,670,,,220,,
武汉大学,法学,2024,16,3,本科批,655,,,380,,
华中科技大学,计算机科学与技术,2024,16,3,本科批,660,,,340,,
郑州大学,临床医学,2024,16,3,本科批,610,,,1100,,
河南大学,计算机科学与技术,2024,16,3,本科批,580,,,1800,,
河南财经政法大学,法学,2024,16,3,本科批,570,,,2000,,
北京大学,计算机科学与技术,2024,14,3,本科批,682,,,120,,
清华大学,计算机科学与技术,2024,14,3,本科批,684,,,100,,
复旦大学,经济学,2024,14,3,本科批,675,,,180,,
浙江大学,计算机科学与技术,2024,14,3,本科批,670,,,230,,
南京大学,物理学,2024,14,3,本科批,665,,,280,,
武汉大学,法学,2024,14,3,本科批,650,,,450,,
南昌大学,临床医学,2024,14,3,本科批,590,,,1500,,
江西财经大学,会计学,2024,14,3,本科批,580,,,1700,,
华东交通大学,土木工程,2024,14,3,本科批,560,,,2200,,
北京大学,计算机科学与技术,2024,4,3,本科批,678,,,130,,
清华大学,计算机科学与技术,2024,4,3,本科批,680,,,110,,
复旦大学,经济学,2024,4,3,本科批,670,,,200,,
浙江大学,计算机科学与技术,2024,4,3,本科批,665,,,250,,
南京大学,物理学,2024,4,3,本科批,660,,,300,,
武汉大学,法学,2024,4,3,本科批,645,,,500,,
太原理工大学,机械工程,2024,4,3,本科批,570,,,2000,,
山西大学,计算机科学与技术,2024,4,3,本科批,560,,,2200,,
山西财经大学,会计学,2024,4,3,本科批,555,,,2400,,
北京大学,计算机科学与技术,2024,5,3,本科批,670,,,150,,
清华大学,计算机科学与技术,2024,5,3,本科批,672,,,130,,
复旦大学,经济学,2024,5,3,本科批,662,,,220,,
浙江大学,计算机科学与技术,2024,5,3,本科批,658,,,270,,
南京大学,物理学,2024,5,3,本科批,652,,,330,,
内蒙古大学,计算机科学与技术,2024,5,3,本科批,540,,,2500,,
内蒙古医科大学,临床医学,2024,5,3,本科批,530,,,2800,,
北京大学,计算机科学与技术,2024,20,3,本科批,675,,,140,,
清华大学,计算机科学与技术,2024,20,3,本科批,677,,,120,,
复旦大学,经济学,2024,20,3,本科批,668,,,210,,
浙江大学,计算机科学与技术,2024,20,3,本科批,663,,,260,,
南京大学,物理学,2024,20,3,本科批,658,,,320,,
武汉大学,法学,2024,20,3,本科批,642,,,530,,
广西大学,计算机科学与技术,2024,20,3,本科批,555,,,2400,,
广西医科大学,临床医学,2024,20,3,本科批,560,,,2200,,
北京大学,计算机科学与技术,2024,24,3,本科批,672,,,145,,
清华大学,计算机科学与技术,2024,24,3,本科批,674,,,125,,
复旦大学,经济学,2024,24,3,本科批,665,,,215,,
浙江大学,计算机科学与技术,2024,24,3,本科批,660,,,265,,
南京大学,物理学,2024,24,3,本科批,655,,,325,,
贵州大学,计算机科学与技术,2024,24,3,本科批,540,,,2600,,
贵州医科大学,临床医学,2024,24,3,本科批,545,,,2400,,
北京大学,计算机科学与技术,2024,25,3,本科批,670,,,150,,
清华大学,计算机科学与技术,2024,25,3,本科批,672,,,130,,
复旦大学,经济学,2024,25,3,本科批,663,,,220,,
浙江大学,计算机科学与技术,2024,25,3,本科批,658,,,270,,
南京大学,物理学,2024,25,3,本科批,653,,,330,,
云南大学,计算机科学与技术,2024,25,3,本科批,545,,,2500,,
昆明理工大学,机械工程,2024,25,3,本科批,535,,,2700,,
北京大学,计算机科学与技术,2024,28,3,本科批,668,,,155,,
清华大学,计算机科学与技术,2024,28,3,本科批,670,,,135,,
复旦大学,经济学,2024,28,3,本科批,660,,,225,,
浙江大学,计算机科学与技术,2024,28,3,本科批,655,,,275,,
南京大学,物理学,2024,28,3,本科批,650,,,335,,
兰州大学,化学,2024,28,3,本科批,560,,,2200,,
西北师范大学,教育学,2024,28,3,本科批,540,,,2600,,
北京大学,计算机科学与技术,2024,31,3,本科批,665,,,160,,
清华大学,计算机科学与技术,2024,31,3,本科批,667,,,140,,
复旦大学,经济学,2024,31,3,本科批,658,,,230,,
浙江大学,计算机科学与技术,2024,31,3,本科批,653,,,280,,
南京大学,物理学,2024,31,3,本科批,648,,,340,,
新疆大学,计算机科学与技术,2024,31,3,本科批,530,,,2800,,
石河子大学,临床医学,2024,31,3,本科批,540,,,2500,,
北京大学,计算机科学与技术,2024,29,3,本科批,660,,,170,,
清华大学,计算机科学与技术,2024,29,3,本科批,662,,,150,,
复旦大学,经济学,2024,29,3,本科批,655,,,240,,
青海大学,计算机科学与技术,2024,29,3,本科批,520,,,3000,,
北京大学,计算机科学与技术,2024,30,3,本科批,662,,,165,,
清华大学,计算机科学与技术,2024,30,3,本科批,664,,,145,,
复旦大学,经济学,2024,30,3,本科批,657,,,235,,
宁夏大学,计算机科学与技术,2024,30,3,本科批,525,,,2900,,
北京大学,计算机科学与技术,2024,26,3,本科批,655,,,180,,
清华大学,计算机科学与技术,2024,26,3,本科批,657,,,160,,
西藏大学,计算机科学与技术,2024,26,3,本科批,510,,,3200,,
